ticket_id,opened_at,first_response_at,resolved_at,priority,status,channel,support_team,technician_name,customer_segment,category,sla_target_hours,first_response_hours,resolution_hours,breached_sla
T0001,2026-04-12T09:15,2026-04-12T12:15,2026-04-12T20:15,medium,resolved,Email,Workshop,Jordan Ellis,Mid-Market,Software Issue,48,3,11,false
T0002,2026-01-04T10:15,2026-01-04T16:15,2026-01-04T18:15,high,resolved,Phone,Remote Support,Taylor Brooks,Enterprise,Warranty,24,6,8,false
T0003,2026-04-07T11:15,2026-04-07T20:15,2026-04-07T16:15,critical,resolved,Portal,Field Support,Morgan Reed,SMB,Preventive Maintenance,8,9,5,false
T0004,2026-02-01T12:15,2026-02-02T00:15,2026-02-02T10:15,low,resolved,WhatsApp,Workshop,Cameron Shaw,Mid-Market,Network Setup,72,12,22,false
T0005,2026-02-11T13:15,2026-02-11T14:15,,medium,pending_customer,Email,Remote Support,Avery Cole,Enterprise,Hardware Repair,48,1,,true
T0006,2026-03-18T14:15,2026-03-18T18:15,2026-03-19T02:15,high,resolved,Phone,Field Support,Jordan Ellis,SMB,Software Issue,24,4,12,false
T0007,2026-01-19T15:15,2026-01-19T22:15,2026-01-20T00:15,critical,resolved,Portal,Workshop,Taylor Brooks,Mid-Market,Warranty,8,7,9,true
T0008,2026-01-09T08:15,2026-01-09T18:15,2026-01-10T10:15,low,resolved,WhatsApp,Remote Support,Morgan Reed,Enterprise,Preventive Maintenance,72,10,26,false
T0009,2026-01-15T09:15,2026-01-15T22:15,2026-01-16T04:15,medium,resolved,Email,Field Support,Cameron Shaw,SMB,Network Setup,48,13,19,false
T0010,2026-04-15T10:15,2026-04-15T12:15,,high,in_progress,Phone,Workshop,Avery Cole,Mid-Market,Hardware Repair,24,2,,false
T0011,2026-04-04T11:15,2026-04-04T16:15,2026-04-05T00:15,critical,resolved,Portal,Remote Support,Jordan Ellis,Enterprise,Software Issue,8,5,13,true
T0012,2026-03-07T12:15,2026-03-07T20:15,2026-03-08T18:15,low,resolved,WhatsApp,Field Support,Taylor Brooks,SMB,Warranty,72,8,30,false
T0013,2026-02-02T13:15,2026-02-03T00:15,2026-02-03T12:15,medium,resolved,Email,Workshop,Morgan Reed,Mid-Market,Preventive Maintenance,48,11,23,false
T0014,2026-03-24T14:15,2026-03-24T15:15,2026-03-25T10:15,high,resolved,Phone,Remote Support,Cameron Shaw,Enterprise,Network Setup,24,1,20,false
T0015,2026-02-16T15:15,2026-02-16T18:15,,critical,open,Portal,Field Support,Avery Cole,SMB,Hardware Repair,8,3,,true
T0016,2026-01-16T08:15,2026-01-16T14:15,2026-01-17T18:15,low,resolved,WhatsApp,Workshop,Jordan Ellis,Mid-Market,Software Issue,72,6,34,false
T0017,2026-02-14T09:15,2026-02-14T18:15,2026-02-15T12:15,medium,resolved,Email,Remote Support,Taylor Brooks,Enterprise,Warranty,48,9,27,false
T0018,2026-04-10T10:15,2026-04-10T22:15,2026-04-11T10:15,high,resolved,Phone,Field Support,Morgan Reed,SMB,Preventive Maintenance,24,12,24,false
T0019,2026-01-17T11:15,2026-01-17T12:15,2026-01-17T20:15,critical,resolved,Portal,Workshop,Cameron Shaw,Mid-Market,Network Setup,8,1,9,true
T0020,2026-01-04T12:15,2026-01-04T16:15,,low,pending_customer,WhatsApp,Remote Support,Avery Cole,Enterprise,Hardware Repair,72,4,,true
T0021,2026-02-22T13:15,2026-02-22T20:15,2026-02-23T20:15,medium,resolved,Email,Field Support,Jordan Ellis,SMB,Software Issue,48,7,31,false
T0022,2026-03-19T14:15,2026-03-20T00:15,2026-03-20T18:15,high,resolved,Phone,Workshop,Taylor Brooks,Mid-Market,Warranty,24,10,28,true
T0023,2026-04-05T15:15,2026-04-06T04:15,2026-04-06T04:15,critical,resolved,Portal,Remote Support,Morgan Reed,Enterprise,Preventive Maintenance,8,13,13,true
T0024,2026-03-27T08:15,2026-03-27T10:15,2026-03-29T02:15,low,resolved,WhatsApp,Field Support,Cameron Shaw,SMB,Network Setup,72,2,42,false
T0025,2026-01-28T09:15,2026-01-28T14:15,,medium,in_progress,Email,Workshop,Avery Cole,Mid-Market,Hardware Repair,48,5,,true
T0026,2026-04-12T10:15,2026-04-12T18:15,2026-04-12T18:15,high,resolved,Phone,Remote Support,Jordan Ellis,Enterprise,Software Issue,24,8,8,false
T0027,2026-03-18T11:15,2026-03-18T22:15,2026-03-18T16:15,critical,resolved,Portal,Field Support,Taylor Brooks,SMB,Warranty,8,11,5,false
T0028,2026-03-21T12:15,2026-03-21T13:15,2026-03-23T10:15,low,resolved,WhatsApp,Workshop,Morgan Reed,Mid-Market,Preventive Maintenance,72,1,46,false
T0029,2026-01-31T13:15,2026-01-31T16:15,2026-02-02T04:15,medium,resolved,Email,Remote Support,Cameron Shaw,Enterprise,Network Setup,48,3,39,false
T0030,2026-01-27T14:15,2026-01-27T20:15,,high,open,Phone,Field Support,Avery Cole,SMB,Hardware Repair,24,6,,true
T0031,2026-04-04T15:15,2026-04-05T00:15,2026-04-05T00:15,critical,resolved,Portal,Workshop,Jordan Ellis,Mid-Market,Software Issue,8,9,9,true
T0032,2026-02-22T08:15,2026-02-22T20:15,2026-02-24T10:15,low,resolved,WhatsApp,Remote Support,Taylor Brooks,Enterprise,Warranty,72,12,50,false
T0033,2026-03-15T09:15,2026-03-15T10:15,2026-03-17T04:15,medium,resolved,Email,Field Support,Morgan Reed,SMB,Preventive Maintenance,48,1,43,false
T0034,2026-02-02T10:15,2026-02-02T14:15,2026-02-03T02:15,high,resolved,Phone,Workshop,Cameron Shaw,Mid-Market,Network Setup,24,4,16,false
T0035,2026-04-09T11:15,2026-04-09T18:15,,critical,pending_customer,Portal,Remote Support,Avery Cole,Enterprise,Hardware Repair,8,7,,true
